url,headline,img_path
/en/news-in-english/19/2643396/10-ideas-for-celebrating-zoline-from-pilgrimages-to-ancient-baltic-wedding-rituals,10 ideas for celebrating Žolinė – from pilgrimages to ancient Baltic wedding rituals,/img/2021/08/12/1030600-663865-150x84.jpg
/en/news-in-english/19/2643598/lithuanian-president-nominates-inga-ruginiene-for-prime-minister,Lithuanian president nominates Inga Ruginienė for prime minister,/img/2025/08/13/2153059-406456-150x84.jpg
/en/news-in-english/19/2643554/prosecutor-asks-two-lithuanian-mps-to-be-stripped-of-immunity-in-receipt-cases,Prosecutor asks two Lithuanian MPs to be stripped of immunity in ‘receipt cases’,/img/2025/08/14/2153987-892275-150x84.jpg
/en/news-in-english/19/2643372/four-more-detained-in-fraud-probe-involving-former-lithuanian-pm-s-company,Four more detained in fraud probe involving former Lithuanian PM’s company,/img/2025/06/04/2090301-657549-150x84.jpg
/en/news-in-english/19/2643265/lithuania-buys-anti-tank-mines-artillery-shells-to-boost-defence,"Lithuania buys anti-tank mines, artillery shells to boost defence",/img/2025/08/11/2151051-576926-150x84.jpg
/en/news-in-english/19/2643193/kyiv-s-supporters-must-be-prepared-to-deploy-forces-to-ukraine-lithuania-s-president,Kyiv’s supporters must be ‘prepared’ to deploy forces to Ukraine – Lithuania’s president,/img/2025/08/04/2145713-428179-150x84.jpg
/en/news-in-english/19/2643164/us-human-rights-report-highlights-lithuanian-politician-s-hate-speech-case,US human rights report highlights Lithuanian politician’s hate speech case,/img/2025/08/11/2151422-156827-150x84.jpg
/en/news-in-english/19/2643150/skvernelis-says-he-won-t-be-lithuania-s-parliament-speaker-in-new-coalition,Skvernelis says he won’t be Lithuania’s parliament speaker in new coalition,/img/2025/08/12/2152253-216148-150x84.jpg
/en/news-in-english/19/2640248/waiting-for-war-s-end-ukrainian-refugees-in-lithuania-struggle-to-learn-the-language,Waiting for war’s end: Ukrainian refugees in Lithuania struggle to learn the language,/img/2024/08/21/1840715-555477-150x84.jpg
/en/news-in-english/19/2642720/lithuania-s-ruling-party-expects-coalition-deal-next-week-may-include-new-partners,"Lithuania’s ruling party expects coalition deal next week, may include new partners",/img/2025/08/06/2147969-235712-150x84.jpg
/en/news-in-english/19/2642695/brother-of-former-lithuanian-pm-detained-in-financial-crimes-probe,Brother of former Lithuanian PM detained in financial crimes probe,/img/2025/07/24/2137246-377139-150x84.jpg
/en/news-in-english/19/2642601/lithuanian-govt-allocates-eur461m-for-advance-payment-on-german-tanks,Lithuanian govt allocates €461m for advance payment on German tanks,/img/2025/03/07/2012100-847124-150x84.jpg
/en/news-in-english/19/2642549/lithuania-declares-nationwide-emergency-over-summer-rainfall-damage,Lithuania declares nationwide emergency over summer rainfall damage,/img/2025/02/03/1980230-550971-150x84.jpg
/en/news-in-english/19/2642470/british-singer-rag-n-bone-man-hospitalised-in-kaunas-i-d-much-rather-be-on-stage,British singer Rag’n’Bone Man hospitalised in Kaunas: ‘I’d much rather be on stage’,/img/2025/08/13/2153108-482304-150x84.jpg
/en/news-in-english/19/2642371/china-sanctions-two-lithuanian-banks-in-retaliation-for-eu-measures,China sanctions two Lithuanian banks in retaliation for EU measures,/img/2024/12/05/1936880-872106-150x84.jpg
