url,headline,img_path
/en/news-in-english/19/2637298/80-years-since-hiroshima-and-nagasaki-what-if-an-atomic-bomb-fell-on-lithuania,80 years since Hiroshima and Nagasaki: what if an atomic bomb fell on Lithuania?,/img/2025/07/10/2126222-871442-150x84.jpg
/en/news-in-english/19/2640367/around-20-same-sex-couples-seek-partnership-recognition-in-lithuanian-courts-association,Around 20 same-sex couples seek partnership recognition in Lithuanian courts – association,/img/2021/02/26/831992-411779-150x84.jpg
/en/news-in-english/19/2640228/apple-juice-season-in-lithuania-expected-to-be-worst-in-years,Apple juice season in Lithuania expected to be worst in years,/img/2025/08/11/2151288-498037-150x84.jpg
/en/news-in-english/19/2640127/belarusians-mark-protests-anniversary-in-lithuania-amid-sense-of-simmering-hostility,Belarusians mark protests anniversary in Lithuania amid sense of simmering hostility,/img/2025/08/09/2150273-19618-150x84.jpg
/en/news-in-english/19/2640109/ukraine-s-borders-are-non-negotiable-says-lithuanian-fm-ahead-of-alaska-meeting,"Ukraine’s borders are non-negotiable, says Lithuanian FM ahead of Alaska meeting",/img/2025/08/05/2147385-305789-150x84.jpg
/en/news-in-english/19/2633295/lithuanians-in-norway-once-ashamed-of-their-roots-now-they-choose-their-identity,"Lithuanians in Norway: once ashamed of their roots, now they choose their identity",/img/2024/01/19/1684739-755447-150x84.jpg
/en/news-in-english/19/2637643/anton-lukoszevieze-england-originally-lithuania-psychologically-interview,"Anton Lukoszevieze: England originally, Lithuania psychologically – interview",/img/2021/01/25/814436-710072-150x84.jpg
/en/news-in-english/19/2633229/spanish-other-languages-gain-ground-as-russian-falls-out-of-favour-in-lithuanian-schools,"Spanish, other languages gain ground as Russian falls out of favour in Lithuanian schools",/img/2025/07/09/2125639-284497-150x84.jpg
/en/news-in-english/19/2633338/in-the-heart-of-birzai-one-woman-s-cafe-gallery-tells-a-story-of-art-and-resilience,"In the heart of Biržai, one woman’s café-gallery tells a story of art and resilience",/img/2025/07/30/2142179-294477-150x84.jpg
/en/news-in-english/19/2630331/pljs-chair-agita-berzanskaite-diaspora-youth-show-the-value-of-the-fight-for-freedom,PLJS Chair Agita Beržanskaitė: diaspora youth show the value of the fight for freedom,/img/2025/07/31/2143292-191703-150x84.jpg
/en/news-in-english/19/2633235/lithuanian-professor-at-university-of-warsaw-i-try-to-pass-on-my-love-for-the-language,Lithuanian professor at University of Warsaw: I try to pass on my love for the language,/img/2025/07/25/2138586-859518-150x84.jpg
/en/news-in-english/19/2637729/lithuanian-court-recognises-same-sex-couple-as-family-for-first-time,Lithuanian court recognises same-sex couple as family for first time,/img/2025/04/03/2036648-710576-150x84.jpg
/en/news-in-english/19/2637636/israel-s-plan-to-occupy-gaza-will-worsen-the-humanitarian-crisis-lithuanian-fm,Israel’s plan to occupy Gaza will worsen the humanitarian crisis – Lithuanian FM,/img/2023/10/26/1615096-8052-150x84.jpg
/en/news-in-english/19/2637566/lithuanian-transport-minister-granted-special-witness-status-in-high-profile-receipt-case,Lithuanian transport minister granted special witness status in high-profile receipt case,/img/2025/08/06/2148083-726294-150x84.jpg
/en/news-in-english/19/2637484/lithuanian-fm-urges-learning-from-ukraine-on-air-defence-boosting-regional-coordination,"Lithuanian FM urges learning from Ukraine on air defence, boosting regional coordination",/img/2023/08/14/1568461-388511-150x84.jpg
/en/news-in-english/19/2637463/get-out-of-lithuania-about-50-protest-against-tsikhanouskaya-s-office-in-vilnius,‘Get out of Lithuania’: about 50 protest against Tsikhanouskaya's office in Vilnius,/img/2025/08/08/2149603-338599-150x84.jpg
/en/news-in-english/19/2637298/80-years-since-hiroshima-and-nagasaki-what-if-an-atomic-bomb-fell-on-lithuania,80 years since Hiroshima and Nagasaki: what if an atomic bomb fell on Lithuania?,
/en/news-in-english/19/2640228/apple-juice-season-in-lithuania-expected-to-be-worst-in-years,Apple juice season in Lithuania expected to be worst in years,
/en/news-in-english/19/2633295/lithuanians-in-norway-once-ashamed-of-their-roots-now-they-choose-their-identity,"Lithuanians in Norway: once ashamed of their roots, now they choose their identity",/img/2024/01/19/1684739-755447-393x221.jpg
/en/news-in-english/19/2640367/around-20-same-sex-couples-seek-partnership-recognition-in-lithuanian-courts-association,Around 20 same-sex couples seek partnership recognition in Lithuanian courts – association,/img/2021/02/26/831992-411779-393x221.jpg
/en/news-in-english/19/2640127/belarusians-mark-protests-anniversary-in-lithuania-amid-sense-of-simmering-hostility,Belarusians mark protests anniversary in Lithuania amid sense of simmering hostility,/img/2025/08/09/2150273-19618-393x221.jpg
/en/news-in-english/19/2637636/israel-s-plan-to-occupy-gaza-will-worsen-the-humanitarian-crisis-lithuanian-fm,Israel’s plan to occupy Gaza will worsen the humanitarian crisis – Lithuanian FM,/img/2023/10/26/1615096-8052-615x345.jpg
/en/news-in-english/19/2637566/lithuanian-transport-minister-granted-special-witness-status-in-high-profile-receipt-case,Lithuanian transport minister granted special witness status in high-profile receipt case,/img/2025/08/06/2148083-726294-393x221.jpg
/en/news-in-english/19/2637484/lithuanian-fm-urges-learning-from-ukraine-on-air-defence-boosting-regional-coordination,"Lithuanian FM urges learning from Ukraine on air defence, boosting regional coordination",/img/2023/08/14/1568461-388511-393x221.jpg
/en/news-in-english/19/2637463/get-out-of-lithuania-about-50-protest-against-tsikhanouskaya-s-office-in-vilnius,‘Get out of Lithuania’: about 50 protest against Tsikhanouskaya's office in Vilnius,/img/2025/08/08/2149603-338599-393x221.jpg
/en/news-in-english/19/2637337/lithuanians-advised-to-travel-to-poland-via-lazdijai-as-border-controls-continue,Lithuanians advised to travel to Poland via Lazdijai as border controls continue,/img/2025/07/18/2133542-816680-393x221.jpg
/en/news-in-english/19/2640127/belarusians-mark-protests-anniversary-in-lithuania-amid-sense-of-simmering-hostility,Belarusians mark protests anniversary in Lithuania amid sense of simmering hostility,/img/2025/08/09/2150273-19618-615x345.jpg
/en/news-in-english/19/2640109/ukraine-s-borders-are-non-negotiable-says-lithuanian-fm-ahead-of-alaska-meeting,"Ukraine’s borders are non-negotiable, says Lithuanian FM ahead of Alaska meeting",/img/2025/08/05/2147385-305789-615x345.jpg
/en/news-in-english/19/2635165/lithuania-resumes-radio-svoboda-russian-language-broadcasts,Lithuania resumes Radio Svoboda Russian-language broadcasts,/img/2025/03/24/2023831-446853-615x345.jpg
/en/news-in-english/19/2630261/russian-drone-strike-destroys-lithuanian-aid-group-blue-yellow-s-warehouse-in-kyiv,Russian drone strike destroys Lithuanian aid group Blue/Yellow’s warehouse in Kyiv,/img/2025/08/01/2144015-867402-615x345.jpg
/en/news-in-english/19/2640228/apple-juice-season-in-lithuania-expected-to-be-worst-in-years,Apple juice season in Lithuania expected to be worst in years,/img/2025/08/11/2151288-498037-615x345.jpg
/en/news-in-english/19/2637250/lithuanian-competition-council-extends-deadline-for-ekspress-grupp-to-sell-lrytas-lt,Lithuanian Competition Council extends deadline for Ekspress Grupp to sell lrytas.lt,/img/2023/11/27/1648701-945101-615x345.jpg
/en/news-in-english/19/2636278/palanga-ferris-wheel-ordered-demolished-over-land-use-violations,Palanga Ferris wheel ordered demolished over land use violations,/img/2025/06/30/2115547-677211-615x345.jpg
/en/news-in-english/19/2635323/july-sees-slight-drop-in-budget-food-basket-price-but-still-higher-than-a-year-ago,"July sees slight drop in budget food basket price, but still higher than a year ago",/img/2025/05/06/2063883-834934-615x345.jpg
/en/news-in-english/19/2640367/around-20-same-sex-couples-seek-partnership-recognition-in-lithuanian-courts-association,Around 20 same-sex couples seek partnership recognition in Lithuanian courts – association,/img/2021/02/26/831992-411779-615x345.jpg
/en/news-in-english/19/2633295/lithuanians-in-norway-once-ashamed-of-their-roots-now-they-choose-their-identity,"Lithuanians in Norway: once ashamed of their roots, now they choose their identity",/img/2024/01/19/1684739-755447-615x345.jpg
/en/news-in-english/19/2637643/anton-lukoszevieze-england-originally-lithuania-psychologically-interview,"Anton Lukoszevieze: England originally, Lithuania psychologically – interview",/img/2021/01/25/814436-710072-615x345.jpg
