url,headline,img_path
/en/news-in-english/19/2914212/lithuania-signs-280m-deal-with-us-for-second-himars-battery,Lithuania signs $280m deal with US for second HIMARS battery,/img/2025/06/05/2091797-100841-150x84.jpg
/en/news-in-english/19/2914182/lithuania-s-economy-performing-slower-than-expected-new-gdp-data-shows,"Lithuania’s economy performing slower than expected, new GDP data shows",/img/2026/04/30/2378938-624341-150x84.jpg
/en/news-in-english/19/2914153/lithuania-is-testing-public-alert-system-thursday,Lithuania is testing public alert system Thursday,/img/2024/11/13/1916981-924171-150x84.jpg
/en/news-in-english/19/2914124/lithuania-slips-down-one-spot-in-global-press-freedom-index,Lithuania slips down one spot in global press freedom index,/img/2025/11/27/2250403-875812-150x84.jpg
/en/news-in-english/19/2914097/former-pm-paluckas-says-he-will-not-resign-from-parliament-amid-criminal-investigation,Former PM Paluckas says he will not resign from parliament amid criminal investigation,/img/2026/04/27/2376963-550896-150x84.jpg
/en/news-in-english/19/2912304/most-germans-know-little-about-lithuania-beyond-basics-study-finds,"Most Germans know little about Lithuania beyond basics, study finds",/img/2026/03/10/2340978-436822-150x84.jpg
/en/news-in-english/19/2913320/lithuanian-pm-says-paluckas-must-decide-on-his-political-future,Lithuanian PM says Paluckas must decide on his political future,/img/2026/04/20/2371922-584460-150x84.jpg
/en/news-in-english/19/2913241/lithuania-to-receive-eur153m-from-eu-recovery-fund-in-june,Lithuania to receive €153m from EU recovery fund in June,/img/2025/05/31/2087608-26699-150x84.jpg
/en/news-in-english/19/2913164/lithuania-s-top-universities-ranked-vu-takes-first-place,Lithuania’s top universities ranked – VU takes first place,/img/2026/02/02/2304111-713109-150x84.jpg
/en/news-in-english/19/2913151/seimas-committee-postpones-lrt-law-amendments-awaiting-venice-opinion,Seimas committee postpones LRT law amendments awaiting Venice opinion,/img/2025/08/31/2167860-325546-150x84.jpg
/en/news-in-english/19/2913074/former-lithuanian-minister-admits-he-took-a-bribe-media,Former Lithuanian minister admits he took a bribe – media,/img/2019/09/26/518677-818930-150x84.jpg
/en/news-in-english/19/2912344/behind-lithuania-s-crisis-management-no-democracy-should-monitor-everything,Behind Lithuania's crisis management: 'No democracy should monitor everything',/img/2023/03/30/1481214-408472-150x84.jpg
/en/news-in-english/19/2912347/asteroid-named-after-lithuanian-astronomer-kazimieras-cernis,Asteroid named after Lithuanian astronomer Kazimieras Černis,/img/2026/04/28/2377635-268924-150x84.jpg
/en/news-in-english/19/2912339/prominent-lithuanian-diaspora-activist-vida-bandis-passes-away-at-91,Prominent Lithuanian diaspora activist Vida Bandis passes away at 91,/img/2026/04/28/2377444-838509-150x84.jpg
/en/news-in-english/19/2912301/stabbings-in-marijampole-school-female-students-sustained-multiple-stabs-motives-unclear,"Stabbings in Marijampolė school: female students sustained multiple stabs, motives unclear",/img/2026/04/28/2377175-373421-150x84.jpg
/en/news-in-english/19/2912275/china-lifts-sanctions-on-two-lithuanian-banks-after-eu-move,China lifts sanctions on two Lithuanian banks after EU move,/img/2020/01/27/591607-834071-150x84.jpg
/en/news-in-english/19/2912304/most-germans-know-little-about-lithuania-beyond-basics-study-finds,"Most Germans know little about Lithuania beyond basics, study finds",
/en/news-in-english/19/2914182/lithuania-s-economy-performing-slower-than-expected-new-gdp-data-shows,"Lithuania’s economy performing slower than expected, new GDP data shows",
/en/news-in-english/19/2914212/lithuania-signs-280m-deal-with-us-for-second-himars-battery,Lithuania signs $280m deal with US for second HIMARS battery,/img/2025/06/05/2091797-100841-393x221.jpg
/en/news-in-english/19/2914153/lithuania-is-testing-public-alert-system-thursday,Lithuania is testing public alert system Thursday,/img/2024/11/13/1916981-924171-393x221.jpg
/en/news-in-english/19/2914124/lithuania-slips-down-one-spot-in-global-press-freedom-index,Lithuania slips down one spot in global press freedom index,/img/2025/11/27/2250403-875812-393x221.jpg
/en/news-in-english/19/2914124/lithuania-slips-down-one-spot-in-global-press-freedom-index,Lithuania slips down one spot in global press freedom index,/img/2025/11/27/2250403-875812-615x345.jpg
/en/news-in-english/19/2914097/former-pm-paluckas-says-he-will-not-resign-from-parliament-amid-criminal-investigation,Former PM Paluckas says he will not resign from parliament amid criminal investigation,/img/2026/04/27/2376963-550896-393x221.jpg
/en/news-in-english/19/2913320/lithuanian-pm-says-paluckas-must-decide-on-his-political-future,Lithuanian PM says Paluckas must decide on his political future,/img/2026/04/20/2371922-584460-393x221.jpg
/en/news-in-english/19/2913151/seimas-committee-postpones-lrt-law-amendments-awaiting-venice-opinion,Seimas committee postpones LRT law amendments awaiting Venice opinion,/img/2025/08/31/2167860-325546-393x221.jpg
/en/news-in-english/19/2913074/former-lithuanian-minister-admits-he-took-a-bribe-media,Former Lithuanian minister admits he took a bribe – media,/img/2019/09/26/518677-818930-393x221.jpg
/en/news-in-english/19/2905243/lithuania-faces-a-russian-railway-dilemma,Lithuania faces a Russian railway dilemma,/img/2022/06/21/1288646-494925-615x345.jpg
/en/news-in-english/19/2907190/us-committee-advances-baltic-security-assessment-bill,US committee advances Baltic security assessment bill,/img/2024/03/13/1725177-371272-615x345.jpg
/en/news-in-english/19/2905102/germany-tells-russia-threats-are-unacceptable-after-arms-makers-list-published,Germany tells Russia threats are 'unacceptable' after arms makers list published,/img/2025/10/14/2212084-871776-615x345.jpg
/en/news-in-english/19/2901108/lithuanian-carriers-have-recovered-over-half-of-trucks-detained-in-belarus,Lithuanian carriers have recovered over half of trucks detained in Belarus,/img/2026/04/17/2369649-873250-615x345.jpg
/en/news-in-english/19/2914212/lithuania-signs-280m-deal-with-us-for-second-himars-battery,Lithuania signs $280m deal with US for second HIMARS battery,/img/2025/06/05/2091797-100841-615x345.jpg
/en/news-in-english/19/2914182/lithuania-s-economy-performing-slower-than-expected-new-gdp-data-shows,"Lithuania’s economy performing slower than expected, new GDP data shows",/img/2026/04/30/2378938-624341-615x345.jpg
/en/news-in-english/19/2913241/lithuania-to-receive-eur153m-from-eu-recovery-fund-in-june,Lithuania to receive €153m from EU recovery fund in June,/img/2025/05/31/2087608-26699-615x345.jpg
/en/news-in-english/19/2912275/china-lifts-sanctions-on-two-lithuanian-banks-after-eu-move,China lifts sanctions on two Lithuanian banks after EU move,/img/2020/01/27/591607-834071-615x345.jpg
/en/news-in-english/19/2912304/most-germans-know-little-about-lithuania-beyond-basics-study-finds,"Most Germans know little about Lithuania beyond basics, study finds",/img/2026/03/10/2340978-436822-615x345.jpg
/en/news-in-english/19/2913164/lithuania-s-top-universities-ranked-vu-takes-first-place,Lithuania’s top universities ranked – VU takes first place,/img/2026/02/02/2304111-713109-615x345.jpg
/en/news-in-english/19/2912347/asteroid-named-after-lithuanian-astronomer-kazimieras-cernis,Asteroid named after Lithuanian astronomer Kazimieras Černis,/img/2026/04/28/2377635-268924-615x345.jpg
/en/news-in-english/19/2912339/prominent-lithuanian-diaspora-activist-vida-bandis-passes-away-at-91,Prominent Lithuanian diaspora activist Vida Bandis passes away at 91,/img/2026/04/28/2377444-838509-615x345.jpg
/en/news-in-english/19/2912344/behind-lithuania-s-crisis-management-no-democracy-should-monitor-everything,Behind Lithuania's crisis management: 'No democracy should monitor everything',/img/2023/03/30/1481214-408472-615x345.jpg
/en/news-in-english/19/2905211/francisco-and-wright-the-best-zalgiris-duo-in-history,Francisco and Wright – the best Žalgiris duo in history?,/img/2026/04/17/2370623-24034-615x345.jpg
/en/news-in-english/19/2907175/we-are-the-first-university-to-be-branded-extremist-interview-with-ehu-vilnius-rector,'We are the first university to be branded extremist' – interview with EHU Vilnius rector,/img/2026/04/22/2373585-498235-615x345.jpg
/en/news-in-english/19/2908078/a-drip-drip-of-dissent-in-russia-minor-symptoms-or-something-more-serious,"A drip, drip of dissent in Russia: 'minor symptoms' or something more serious?",/img/2025/09/29/2197144-42964-615x345.jpg
