url,headline,img_path,scrape_date
/en/news-in-english/19/3042171/lithuanian-comedians-take-stage-at-edinburgh-fringe-here-you-are-naked,Lithuanian comedians take stage at Edinburgh Fringe: ‘Here you are naked’,/img/2026/09/04/2479908-380583-150x84.jpg,2026-09-05
/en/news-in-english/19/3039336/housing-costs-push-vilnius-buyers-toward-regions-but-prices-rise-there-too,"Housing costs push Vilnius buyers toward regions – but prices rise there, too",/img/2025/05/21/2078563-319353-150x84.jpg,2026-09-05
/en/news-in-english/19/3042292/eu-court-rules-against-lithuania-s-sanctions-on-russia-linked-energy-company,EU court rules against Lithuania’s sanctions on Russia-linked energy company,/img/2025/12/02/2254118-788708-150x84.jpg,2026-09-05
/en/news-in-english/19/3042234/lithuania-to-seek-faster-moldova-eu-accession-during-eu-council-presidency,Lithuania to seek faster Moldova EU accession during EU Council presidency,/img/2025/08/22/2160453-943258-150x84.jpg,2026-09-05
/en/news-in-english/19/3042160/bolt-drivers-in-lithuania-protest-low-fares-unfair-tax-distribution,"Bolt drivers in Lithuania protest low fares, ‘unfair’ tax distribution",/img/2019/06/05/443361-300397-150x84.jpg,2026-09-05
/en/news-in-english/19/3042090/lithuania-tightens-inspections-of-russian-grain-amid-concerns-over-ukrainian-cargo,Lithuania tightens inspections of Russian grain amid concerns over Ukrainian cargo,/img/2021/08/17/1033422-934871-150x84.jpg,2026-09-05
/en/news-in-english/19/3042067/lithuanian-intelligence-sees-no-increased-threat-from-belarus,Lithuanian intelligence sees no increased threat from Belarus,/img/2026/09/04/2479648-869862-150x84.jpg,2026-09-05
/en/news-in-english/19/3041359/lrt-english-newsletter-scandal,LRT English Newsletter: Scandal!,/img/2021/05/13/968048-236256-150x84.jpg,2026-09-05
/en/news-in-english/19/3041330/lithuanian-parliament-speaker-urges-contacts-with-belarusian-govt-but-stronger-sanctions,"Lithuanian parliament speaker urges contacts with Belarusian govt, but stronger sanctions",/img/2026/08/19/2467051-719206-150x84.jpg,2026-09-05
/en/news-in-english/19/3041220/lithuania-opens-baltic-region-s-first-cell-therapy-and-personalised-medicine-centre,Lithuania opens Baltic region’s first cell therapy and personalised medicine centre,/img/2024/09/26/1866367-265676-150x84.jpg,2026-09-05
/en/news-in-english/19/3041151/frustration-grows-over-lithuania-s-slow-progress-in-improving-ties-with-beijing,Frustration grows over Lithuania’s slow progress in improving ties with Beijing,/img/2021/12/27/1164278-261365-150x84.jpg,2026-09-05
/en/news-in-english/19/3041111/lithuanian-agriculture-minister-says-regulating-food-prices-is-impossible,Lithuanian agriculture minister says regulating food prices is impossible,/img/2022/09/20/1346889-285468-150x84.jpg,2026-09-05
/en/news-in-english/19/3041074/belarusian-opposition-leader-says-russia-could-use-belarus-to-provoke-nato,Belarusian opposition leader says Russia could use Belarus to provoke NATO,/img/2026/03/30/2356743-802857-150x84.jpg,2026-09-05
/en/news-in-english/19/3039302/lithuania-struggled-to-deal-with-storm-damage-but-what-if-it-was-a-military-attack,Lithuania struggled to deal with storm damage. But what if it was a military attack?,/img/2026/08/24/2470853-917870-150x84.jpg,2026-09-05
/en/news-in-english/19/3040640/no-more-flights-to-prague-or-berlin-which-destinations-are-cut-from-airbaltic-s-schedule,No more flights to Prague or Berlin: which destinations are cut from airBaltic’s schedule,/img/2019/11/16/550495-95949-150x84.jpg,2026-09-05
